"TRIM_ID","VARIANT_ID","TRIM_NAME","BASE_PRICE","DESCRIPTION"
1,1,Smart,20340000,"• 파워트레인/성능 : 스마트스트림 가솔린 1.6 엔진, 스마트스트림 IVT, 디스크 브레이크, 통합주행모드
• 안전 : 8에어백 시스템(1열 어드밴스드/사이드, 2열 사이드, 전복 대응 커튼), 유아용 시트 고정장치(2열 2개), 세이프티 언락, 타이어 응급처치 키트, 개별 타이어 공기압 경보장치, 실내 소화기
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조, 차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 전방 차량 출발 알림, 지능형 속도 제한 보조
• 외관 : 네오트로닉 블랙 라디에이터 그릴, Full LED 헤드램프(MFR 타입), LED 주간주행등(DRL, 포지셔닝 포함), 보조제동등, 15인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절, LED 방향지시등)
• 내장 : 클러스터(4.2인치 컬러 LCD), 선바이저 거울 & 슬라이딩, 룸램프, 인조가죽 적용 내장(도어 센터트림)
• 시트 : 인조가죽 시트, 운전석 수동 높이 조절, 2열 높이조절 헤드레스트(센터 제외)
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 웰컴 시스템, 스마트 트렁크, 도어 포켓 라이팅(앞), 파워 윈도우, 마이크로 에어 필터, 수동식 틸트 & 텔레스코픽 스티어링 휠, 스티어링 휠 리모컨, ECM 룸미러, USB-C 충전기(1열 1개, 2열 2개), 크루즈 컨트롤, 오토 라이트 컨트롤, 후석 승객 알림, 후방 모니터(조향 연동, 주행 중 후방 뷰), 전방 주차 거리 경고, 후방 주차 거리 경고
• 인포테인먼트 : 8인치 디스플레이 오디오(6스피커, 라디오, MP3, 블루투스 핸즈프리, 무선 폰 프로젝션 포함)"
2,1,Modern,23550000,"▶ 스마트 기본 품목 및
• 지능형 안전 기술 : 고속도로 주행보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함), 내비게이션 기반 스마트 크루즈 컨트롤(안전구간, 곡선로)
• 외관 : 16인치 알로이 휠 & 타이어
• 내장 : 가죽 스티어링 휠(열선 포함), 가죽 변속기 노브, 선바이저 램프, 깊이 가변형 컵홀더, 앰비언트 무드램프
• 시트 : 1열 열선/통풍시트
• 편의 : 전동식 파킹 브레이크(오토홀드 포함), 듀얼 풀오토 에어컨(오토 디포그/미세먼지 센서/공기청정모드/애프터 블로우 포함), 운전석 공조 연동 자동 제어, 2열 에어벤트, 세이프티 파워 윈도우(운전석), 하이패스
• 인포테인먼트 : 10.25인치 내비게이션(블루링크, 폰 프로젝션, 블루투스 핸즈프리, 인카페이먼트, 발레모드), 내비게이션 무선 업데이트"
3,1,Inspiration,27170000,"모던 기본 품목 및
• 지능형 안전 기술 : 후측방 충돌 경고(주행), 후측방 충돌방지 보조(전진 출차), 후방 교차 충돌방지 보조, 후방 주차 충돌방지 보조, 안전 하차 경고, 진동 경고 스티어링 휠
• 외관 : 17인치 알로이 휠 & 타이어, Full LED 헤드램프(프로젝션 타입), LED 방향지시등(앞), LED 리어 콤비램프, LED 보조제동등, 크롬 벨트라인 몰딩, 에어로 타입 와이퍼, 이중접합 차음 유리(윈드실드)
• 내장 : 파노라마 디스플레이(클러스터(10.25인치 컬러 LCD), 클러스터/내비게이션 일체형 글라스), LED 실내등(맵램프, 룸램프, 선바이저 램프), 소프트 페인트 내장재(동승석 크래시 패드 가니시, 도어 트림 상단)
• 시트 : 천연가죽 시트, 운전석 전동시트(8way, 럼버서포트, 자세 메모리 시스템), 동승석 전동시트(4way), 2열 열선시트, 2열 암레스트, 2열 6:4 폴딩, 2열 높이조절 헤드레스트(센터), 동승석 시트백 포켓
• 편의 : 스마트폰 무선충전, 현대 디지털 키 2 터치, 서라운드 뷰 모니터, 후측방 모니터
• 인포테인먼트 : BOSE 프리미엄 사운드(8스피커, 외장앰프 포함)"
4,1,N Line,28060000,"인스퍼레이션 기본 품목 및
• 성능 : 후륜 멀티링크 서스펜션
• 외관 : N Line 전용 디자인(프론트/리어범퍼, 라디에이터 그릴, 18인치 알로이 휠 & 타이어, 유광 블랙 DLO 몰딩(벨트라인 포함), 립타입 리어 스포일러, 사이드 스커트, 리어 디퓨저, 싱글 트윈 팁 머플러, 블랙 아웃사이드 미러 커버, N Line 엠블럼)
• 내장 : N Line 전용 내장 디자인(반펀칭 가죽 스티어링 휠(열선, 레드 스티치 포함), 가죽 변속기 노브(레드 스티치 포함), 블랙 헤드라이닝 & 선바이저 & 필라트림, 도어 센터트림 레드 스티치, 패들쉬프트, 메탈 페달 & 풋 레스트)
• 시트 : N Line 전용 천연가죽 시트(레드 스티치 & 파이핑, 착좌면 N 로고 스웨이드 패치 적용)"
5,2,Smart,21720000,"• 파워트레인/성능 : LPi 1.6 엔진, 6단 자동변속기, 디스크 브레이크, 통합주행모드
• 안전 : 8에어백 시스템(1열 어드밴스드/사이드, 2열 사이드, 전복 대응 커튼), 유아용 시트 고정장치(2열 2개), 세이프티 언락, 타이어 응급처치 키트, 개별 타이어 공기압 경보장치, 실내 소화기
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조, 차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 전방 차량 출발 알림, 지능형 속도 제한 보조
• 외관 : 네오트로닉 블랙 라디에이터 그릴, Full LED 헤드램프(MFR 타입), LED 주간주행등(DRL, 포지셔닝 포함), 보조제동등, 15인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절, LED 방향지시등)
• 내장 : 클러스터(4.2인치 컬러 LCD), 선바이저 거울 & 슬라이딩, 룸램프, 인조가죽 적용 내장(도어 센터트림)
• 시트 : 인조가죽 시트, 운전석 수동 높이 조절, 2열 높이조절 헤드레스트(센터 제외)
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 웰컴 시스템, 스마트 트렁크, 도어 포켓 라이팅(앞), 파워 윈도우, 마이크로 에어 필터, 수동식 틸트 & 텔레스코픽 스티어링 휠, 스티어링 휠 리모컨, ECM 룸미러, USB-C 충전기(1열 1개, 2열 2개), 크루즈 컨트롤, 오토 라이트 컨트롤, 후석 승객 알림, 후방 모니터(조향 연동, 주행 중 후방 뷰), 전방 주차 거리 경고, 후방 주차 거리 경고
• 인포테인먼트 : 8인치 디스플레이 오디오(6스피커, 라디오, MP3, 블루투스 핸즈프리, 무선 폰 프로젝션 포함)"
43,9,Premium,40480000,가솔린 3.5 프리미엄 (3.5 엔진 적용)
44,9,Exclusive,45370000,가솔린 3.5 익스클루시브 (3.5 엔진 적용)
45,9,Honors,47630000,가솔린 3.5 아너스 (3.5 엔진 적용)
46,9,Calligraphy,49600000,가솔린 3.5 캘리그래피 (3.5 엔진 적용)
47,9,Black Exterior,49600000,가솔린 3.5 블랙 익스테리어 (3.5 엔진 적용)
12,3,N Line,31840000,"▶ 인스퍼레이션 기본 품목 및
• 외관 : N Line 전용 디자인(프론트/리어범퍼, 라디에이터 그릴, 18인치 알로이 휠 & 타이어, 유광 블랙 DLO 몰딩(벨트라인 포함), 립타입 리어 스포일러, 사이드 스커트, 리어 디퓨저, 싱글 트윈 팁 머플러, 블랙 아웃사이드 미러 커버, N Line 엠블럼)
• 내장 : N Line 전용 내장 디자인(반펀칭 가죽 스티어링 휠(열선, 레드 스티치 포함), 가죽 변속기 노브(레드 스티치 포함), 블랙 헤드라이닝 & 선바이저 & 필라 트림, 도어 센터트림 레드 스티치, 패들쉬프트, 메탈 페달 & 풋 레스트)
• 시트 : N Line 전용 천연가죽 시트(레드 스티치 & 파이핑, 착좌면 N 로고 스웨이드 패치 적용)"
13,4,Premium,28920000,"• 파워트레인/성능 : 스마트스트림 가솔린 1.6 터보 엔진, 8단 자동변속기, ISG시스템,
랙구동형 전동식 파워 스티어링(R-MDPS), 전자식 변속 칼럼, 통합 주행 모드, 후륜 멀티링크 서스펜션
• 안전 : 9에어백 시스템(1열 어드밴스드, 운전석 무릎, 1/2열 사이드, 전복대응 커튼), 세이프티 언락,
유아용 시트 고정장치(2열 2개), 개별 타이어 공기압 경보 장치, 타이어 응급처치 키트, 실내 소화기,
트렁크 리드 조명, 시트 벨트 프리텐셔너(1/2열)
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조,
차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함), 전방 차량 출발 알림,
진동경고 스티어링 휠, 지능형 속도 제한 보조
• 외관 : 심리스 호라이즌 램프(수평형 LED 램프-주간주행등, 방향지시등(앞), 포지셔닝 램프),
Full LED 헤드램프(MFR타입), LED 방향지시등(뒤), LED 리어콤비램프, 도어 포켓 라이팅(1열),
LED 보조제동등, 크롬 DLO몰딩, 17인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절),
펜더 LED 방향지시등, 이중접합 차음유리(윈드실드, 1열도어)
• 내장 : 클러스터(4.2인치 컬러 LCD), 가죽 스티어링 휠(열선포함), 인조가죽 적용 내장(도어 센터트림),
LED 실내등(맵램프, 룸램프), ECM 룸미러
• 시트 : 인조가죽 시트, 1열 열선시트, 운전석 전동시트(8way, 럼버서포트), 시트백 포켓
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 스마트 트렁크, 전동식 파킹 브레이크(오토홀드 포함),
매뉴얼 에어컨(애프터 블로우 포함), 세이프티 파워 윈도우(전좌석), 2열 에어벤트, 후방 모니터,
전방/후방 주차 거리 경고, 후드 가스 리프터, 패들쉬프트, 오토라이트 컨트롤,
수동식 틸트 & 텔레스코픽 스티어링 휠, 마이크로 에어 필터, C타입 USB 포트(1열 2개, 2열 2개)
• 인포테인먼트 : 12.3인치 디스플레이 오디오(블루링크, 폰 프로젝션, 6스피커, 라디오, MP3, 블루투스 핸즈프리),
무선 소프트웨어 업데이트(OTA Software Update)"
14,4,S,30220000,"▶ 프리미엄 기본 품목 및
• 지능형 안전 기술 : 고속도로 주행 보조, 내비게이션 기반 스마트 크루즈 컨트롤(안전구간/곡선로),
후측방 충돌 경고(주행), 후측방 충돌방지 보조(전진 출차), 후방 교차 충돌방지 보조, 안전 하차 보조
• 내장 : 파노라믹 커브드 디스플레이, 클러스터(12.3인치 컬러 LCD)
• 시트 : 1열 통풍시트
• 편의 : 듀얼 풀오토 에어컨(미세먼지센서/공기청정모드/오토 디포그), 운전석 공조 연동 자동 제어,
레인센서, 하이패스
• 인포테인먼트 : 12.3인치 내비게이션(인카페이먼트/e hi-pass)"
15,4,Exclusive,33260000,"▶ 에스 기본 품목 및
• 지능형 안전 기술 : 후방 주차 충돌방지 보조
• 내장 : 앰비언트 무드램프, 크롬 인사이드 도어 핸들, 멜란지 니트 내장재(헤드라이닝/필라)
• 시트 : 천연가죽 시트, 운전석 자세 메모리 시스템, 동승석 전동시트(4way, 릴렉션 컴포트, 워크인 디바이스)
• 편의 : 스마트 파워 트렁크, 스마트폰 무선충전, 원격 스마트 주차 보조, 서라운드 뷰 모니터, 후측방 모니터,
측방 주차거리 경고"
16,4,Inspiration,36150000,"▶ 익스클루시브 기본 품목 및
• 지능형 안전 기술 : 2열 승객 알림
• 외관 : Full LED 헤드램프(프로젝션 타입), 다이내믹 웰컴 라이트(앞/뒤), 순차 점등 방향지시등(앞),
18인치 알로이 휠 & 피렐리 타이어, 자외선 차단유리(윈드실드), 터치타입 아웃사이드 도어 핸들
• 내장 : 인조가죽 적용 내장(크래쉬패드), 메탈 페달
• 시트 : 나파가죽 시트(카멜/그레이지/네이비), 2열 열선시트, 2열 6:4 분할 폴딩, 2열 암레스트
• 편의 : 헤드업 디스플레이, 2열 수동식 도어커튼, 뒷면 전동식 커튼, 디지털 키 2, 실내 지문 인증 시스템(시동/결제)"
86,22,N Line,37090000,KONA HYBRID 트림
49,12,Exclusive,43830000,"핵심 기본 사양: 12.3인치 내비게이션, 스마트 크루즈 컨트롤(스탑앤고), 10에어백, 3존 독립제어 풀오토 에어컨, 1열 열선/통풍 시트, Full LED 헤드램프, 18인치 휠 [cite: 1939, 1949]"
50,12,Prestige,49360000,"익스클루시브 품목 외: 20인치 알로이 휠, 천연가죽 시트, 서라운드 뷰 & 후측방 모니터, 스마트 파워 테일게이트, 고속도로 주행 보조 2(HDA2), 전동식 틸트 핸들 [cite: 1943, 1952]"
51,12,Calligraphy,55860000,"프레스티지 품목 외: 캘리그래피 전용 내외관 디자인, 나파가죽 시트, 운전석 에르고 모션, 1열 릴렉션 시트, BOSE 사운드, 헤드업 디스플레이(HUD), 디지털 센터 미러 [cite: 1944, 1954]"
59,14,Exclusive Special,79275000,"HDA 2, 루프랙, 운전석 자세 메모리, 1열 통풍시트, 스마트 파워 테일게이트"
60,14,Prestige,83445000,"원격 스마트 주차 보조 2, B&O 사운드, 서라운드 뷰, HUD"
61,15,E-Value Plus,48560000,"63.0kWh 배터리, 고속도로 주행 보조, 12.3인치 클러스터 내비게이션 통합 디스플레이"
29,8,Premium,37980000,가솔린 2.5 프리미엄
30,8,Exclusive,42870000,가솔린 2.5 익스클루시브
31,8,Honors,45130000,가솔린 2.5 아너스
32,8,Calligraphy,47100000,가솔린 2.5 캘리그래피
33,8,Black Exterior,47100000,가솔린 2.5 블랙 익스테리어
34,8,Black Ink,48370000,가솔린 2.5 블랙 잉크
35,10,Premium,38650000,LPG 3.5 프리미엄
36,10,Exclusive,43480000,LPG 3.5 익스클루시브
37,11,Premium,43540000,하이브리드 프리미엄
38,11,Exclusive,48430000,하이브리드 익스클루시브
39,11,Honors,50690000,하이브리드 아너스
40,11,Calligraphy,52660000,하이브리드 캘리그래피
41,11,Black Exterior,52660000,하이브리드 블랙 익스테리어
42,11,Black Ink,53930000,하이브리드 블랙 잉크
20,5,Exclusive,32600000,"▶ 에스 기본 품목 및
• 지능형 안전 기술 : 후방 주차 충돌방지 보조
• 내장 : 앰비언트 무드램프, 크롬 인사이드 도어 핸들, 멜란지 니트 내장재(헤드라이닝/필라)
• 시트 : 천연가죽 시트, 운전석 자세 메모리 시스템, 동승석 전동시트(4way, 릴렉션 컴포트, 워크인 디바이스)
• 편의 : 스마트 파워 트렁크, 스마트폰 무선충전, 원격 스마트 주차 보조, 서라운드 뷰 모니터, 후측방 모니터,
측방 주차거리 경고"
21,5,Inspiration,35490000,"▶ 익스클루시브 기본 품목 및
• 지능형 안전 기술 : 2열 승객 알림
• 외관 : Full LED 헤드램프(프로젝션 타입), 다이내믹 웰컴 라이트(앞/뒤), 순차 점등 방향지시등(앞),
18인치 알로이 휠 & 피렐리 타이어, 자외선 차단유리(윈드실드), 터치타입 아웃사이드 도어 핸들
• 내장 : 인조가죽 적용 내장(크래쉬패드), 메탈 페달
• 시트 : 나파가죽 시트(카멜/그레이지/네이비), 2열 열선시트, 2열 6:4 분할 폴딩, 2열 암레스트
• 편의 : 헤드업 디스플레이, 2열 수동식 도어커튼, 뒷면 전동식 커튼, 디지털 키 2, 실내 지문 인증 시스템(시동/결제)"
22,6,Premium,29100000,"• 파워트레인/성능 : 스마트스트림 LPG 2.0 엔진, 6단 자동변속기, 전동식 파워 스티어링, 전자식 변속 칼럼,
통합 주행 모드, 후륜 멀티링크 서스펜션, 원형 봄베
• 안전 : 9에어백 시스템(1열 어드밴스드, 운전석 무릎, 1/2열 사이드, 전복대응 커튼), 세이프티 언락,
유아용 시트 고정장치(2열 2개), 개별 타이어 공기압 경보 장치, 타이어 응급처치 키트, 실내 소화기,
트렁크 리드 조명, 시트 벨트 프리텐셔너(1/2열)
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조,
차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함), 전방 차량 출발 알림,
진동경고 스티어링 휠, 지능형 속도 제한 보조
• 외관 : 심리스 호라이즌 램프(수평형 LED 램프-주간주행등, 방향지시등(앞), 포지셔닝 램프),
Full LED 헤드램프(MFR타입), LED 방향지시등(뒤), LED 리어콤비램프, 도어 포켓 라이팅(1열),
LED 보조제동등, 크롬 DLO몰딩, 17인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절),
펜더 LED 방향지시등, 이중접합 차음유리(윈드실드, 1열도어)
• 내장 : 클러스터(4.2인치 컬러 LCD), 가죽 스티어링 휠(열선포함), 인조가죽 적용 내장(도어 센터트림),
LED 실내등(맵램프, 룸램프), ECM 룸미러
• 시트 : 인조가죽 시트, 1열 열선시트, 운전석 전동시트(8way, 럼버서포트), 시트백 포켓
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 스마트 트렁크, 전동식 파킹 브레이크(오토홀드 포함),
매뉴얼 에어컨(애프터 블로우 포함), 세이프티 파워 윈도우(전좌석), 2열 에어벤트, 후방 모니터,
전방/후방 주차 거리 경고, 후드 가스 리프터, 패들쉬프트, 오토라이트 컨트롤, 수동식 틸트 & 텔레스코픽 스티어링 휠,
마이크로 에어 필터, C타입 USB 포트(1열 2개, 2열 2개)
• 인포테인먼트 : 12.3인치 디스플레이 오디오(블루링크, 폰 프로젝션, 6스피커, 라디오, MP3,
블루투스 핸즈프리), 무선 소프트웨어 업데이트(OTA Software Update)"
23,6,Exclusive,33090000,"▶ 프리미엄 기본 품목 및
• 지능형 안전 기술 : 고속도로 주행 보조, 내비게이션 기반 스마트 크루즈 컨트롤(안전구간/곡선로), 후측방 충돌 경고(주행),
후측방 충돌방지 보조(전진 출차), 후방 교차 충돌방지 보조, 안전 하차 보조, 후방 주차 충돌방지 보조
• 내장 : 파노라믹 커브드 디스플레이, 클러스터(12.3인치 컬러 LCD), 앰비언트 무드램프, 크롬 인사이드 도어 핸들,
멜란지 니트 내장재(헤드라이닝/필라)
• 시트 : 천연가죽 시트, 1열 통풍시트, 운전석 자세 메모리 시스템, 동승석 전동시트(4way, 릴렉션 컴포트, 워크인 디바이스)
• 편의 : 듀얼 풀오토 에어컨(미세먼지센서/공기청정모드/오토 디포그), 운전석 공조 연동 자동 제어, 하이패스,
레인센서, 스마트 파워 트렁크, 스마트폰 무선충전, 서라운드 뷰 모니터, 후측방 모니터, 측방 주차거리 경고
• 인포테인먼트 : 12.3인치 내비게이션(인카페이먼트/e hi-pass"
24,6,Inspiration,35740000,"▶ 익스클루시브 기본 품목 및
• 지능형 안전 기술 : 2열 승객 알림
• 외관 : Full LED 헤드램프(프로젝션 타입), 다이내믹 웰컴 라이트(앞/뒤), 순차 점등 방향지시등(앞),
18인치 알로이 휠 & 타이어, 자외선 차단유리(윈드실드), 터치타입 아웃사이드 도어 핸들
• 내장 : 인조가죽 적용 내장(크래쉬패드), 메탈 페달
• 시트 : 나파가죽 시트(카멜/그레이지/네이비), 2열 열선시트, 2열 암레스트(스키쓰루 포함)
• 편의 : 헤드업 디스플레이, 2열 수동식 도어커튼, 뒷면 전동식 커튼, 디지털 키 2, 실내 지문 인증 시스템(시동/결제)"
25,7,Premium,32700000,"• 파워트레인: 2.0 하이브리드 엔진, 6AT, e-Motion Driven• 안전: 9에어백n• 지능형 안전: 전방 충돌방지, 차로 유지, 스마트 크루즈(S&G)n• 편의: 12.3인치 디스플레이 오디오, 듀얼 풀오토 에어컨(기본)"
26,7,S,33710000,"▶ Premium 기본 품목 포함n• 지능형 안전: HDA, 내비 기반 스마트 크루즈, 후측방 충돌 방지n• 편의: 12.3인치 내비게이션, 1열 통풍시트, 하이패스"
27,7,Exclusive,36740000,"▶ S 기본 품목 포함n• 외관: 17인치 휠n• 시트: 천연가죽, 운전석 메모리, 동승석 전동n• 편의: 스마트 파워 트렁크, 서라운드 뷰, 원격 스마트 주차 보조"
28,7,Inspiration,39790000,"▶ Exclusive 기본 품목 포함n• 외관: Full LED 헤드램프(프로젝션), 순차점등 턴시그널, 18인치 휠n• 시트: 나파가죽, 2열 열선/폴딩n• 편의: HUD, 디지털 키 2, 전동 커튼"
70,20,Modern,24780000,KONA 1.6T 트림
71,20,H-Pick,25590000,KONA 1.6T 트림
72,20,Premium,28210000,KONA 1.6T 트림
73,20,Inspiration,31020000,KONA 1.6T 트림
74,20,Black Exterior,31270000,KONA 1.6T 트림
75,20,N Line,31990000,KONA 1.6T 트림
76,21,Modern,24090000,KONA 2.0 트림
77,21,H-Pick,24990000,KONA 2.0 트림
78,21,Premium,27530000,KONA 2.0 트림
79,21,Inspiration,30340000,KONA 2.0 트림
80,21,Black Exterior,30590000,KONA 2.0 트림
81,22,Modern,30550000,KONA HYBRID 트림
82,22,H-Pick,31460000,KONA HYBRID 트림
83,22,Premium,33540000,KONA HYBRID 트림
84,22,Inspiration,36120000,KONA HYBRID 트림
85,22,Black Exterior,36370000,KONA HYBRID 트림
17,4,N Line,36740000,"• 파워트레인/성능 : 스마트스트림 가솔린 1.6 터보 엔진, 8단 자동변속기, ISG시스템
렉구동형 전동식 파워 스티어링(R-MDPS), 전자식 변속 칼럼, 통합 주행 모드, 후륜 멀티링크 서스펜션
• 안전 : 9에어백 시스템(1열 어드밴스드, 운전석 무릎, 1/2열 사이드, 전복대응 커튼),
세이프티 언락, 유아용 시트 고정장치(2열 2개), 개별 타이어 공기압 경보 장치,
타이어 응급처치 키트, 실내 소화기, 트렁크 리드 조명, 시트 벨트 프리텐셔너(1/2열)
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차),
차로 유지 보조, 차로 이탈방지 보조, 후측방 충돌 경고(주행), 후측방 충돌방지 보조(전진 출차),
후방 교차 충돌방지 보조, 고속도로 주행 보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함),
내비게이션 기반 스마트 크루즈 컨트롤(안전구간/곡선로), 운전자 주의 경고, 하이빔 보조,
전방 차량 출발 알림, 진동경고 스티어링 휠, 지능형 속도 제한 보조, 안전 하차 보조
• 외관 : N Line 전용 디자인(블랙 하이그로시 라디에이터 그릴, 프론트/리어 범퍼, 전면 에어 인테이크 홀,
블랙 투톤 아웃사이드 도어 핸들, 리어 스포일러, 듀얼 트윈팁 머플러 가니시, N 휠캡),
심리스 호라이즌 램프(수평형 LED 램프-주간주행등, 방향지시등(앞), 포지셔닝 램프),
Full LED 헤드램프(프로젝션 타입), 다이내믹 웰컴 라이트(앞/뒤),
순차 점등 방향지시등(앞), 펜더 LED 방향지시등, LED 방향지시등(뒤), Full LED 리어콤비램프,
도어 포켓 라이팅(1열), LED 보조제동등, 크롬 DLO몰딩, 19인치 알로이 휠 & 피렐리 타이어,
아웃사이드 미러(열선, 전동접이, 전동조절), 터치타입 아웃사이드 도어 핸들,
이중접합 차음유리(윈드실드, 1열도어), 자외선 차단유리(윈드실드)
• 내장 : 파노라믹 커브드 디스플레이, 클러스터(12.3인치 컬러 LCD), 가죽 스티어링 휠(열선포함),
인조가죽 적용 내장(도어 센터트림), ECM 룸미러, 크롬 인사이드 도어 핸들,
메탈 페달, 다크 그레이 니트 내장재, 앰비언트 무드램프, LED 실내등(맵램프, 룸램프)
• 시트 : 전용 버킷 시트(1열), 스웨이드+나파가죽 시트, 1열 열선/통풍시트,
운전석 전동시트(8way, 럼버서포트, 볼스터 전동조절, 자세 메모리 시스템),
동승석 전동시트(4way, 릴렉션 컴포트, 워크인 디바이스), 2열 암레스트
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 스마트 파워 트렁크,
전동식 파킹 브레이크(오토홀드 포함), 세이프티 파워 윈도우(전좌석),
듀얼 풀오토 에어컨(미세먼지센서/공기청정모드/오토 디포그/애프터 블로우),
2열 에어벤트, 마이크로 에어 필터, 운전석 공조 연동 자동 제어, 후방 모니터, 전방/후방 주차 거리 경고,
하이패스, 디지털 키 2, 실내 지문 인증 시스템(시동/결제),
스마트폰 무선충전, 레인센서, 후드 가스 리프터, 패들쉬프트, 오토라이트 컨트롤,
수동식 틸트 & 텔레스코픽 스티어링 휠, C타입 USB 포트(1열 2개, 2열 2개)
• 인포테인먼트 : 12.3인치 내비게이션(블루링크, 인카페이먼트/e hi-pass),
무선 소프트웨어 업데이트(OTA Software Update), BOSE 프리미엄 사운드(12스피커, 외장앰프)"
18,5,Premium,28260000,"• 파워트레인/성능 : 스마트스트림 가솔린 2.0 엔진, 6단 자동변속기, ISG시스템, 전동식 파워 스티어링,
전자식 변속 칼럼, 통합 주행 모드, 후륜 멀티링크 서스펜션
• 안전 : 9에어백 시스템(1열 어드밴스드, 운전석 무릎, 1/2열 사이드, 전복대응 커튼), 세이프티 언락,
유아용 시트 고정장치(2열 2개), 개별 타이어 공기압 경보 장치, 타이어 응급처치 키트, 실내 소화기,
트렁크 리드 조명, 시트 벨트 프리텐셔너(1/2열)
• 지능형 안전 기술 : 전방 충돌방지 보조(차량/보행자/자전거 탑승자/교차로 대향차/정면 대향차), 차로 유지 보조,
차로 이탈방지 보조, 운전자 주의 경고, 하이빔 보조, 스마트 크루즈 컨트롤(스탑앤고 기능 포함),
전방 차량 출발 알림, 진동경고 스티어링 휠, 지능형 속도 제한 보조
• 외관 : 심리스 호라이즌 램프(수평형 LED 램프-주간주행등, 방향지시등(앞), 포지셔닝 램프),
Full LED 헤드램프(MFR타입), LED 방향지시등(뒤), LED 리어콤비램프, 도어 포켓 라이팅(1열),
LED 보조제동등, 크롬 DLO몰딩, 17인치 알로이 휠 & 타이어, 아웃사이드 미러(열선, 전동접이, 전동조절),
펜더 LED 방향지시등, 이중접합 차음유리(윈드실드, 1열도어)
• 내장 : 클러스터(4.2인치 컬러 LCD), 가죽 스티어링 휠(열선포함),
인조가죽 적용 내장(도어 센터트림), LED 실내등(맵램프, 룸램프), ECM 룸미러
• 시트 : 인조가죽 시트, 1열 열선시트, 운전석 전동시트(8way, 럼버서포트), 시트백 포켓
• 편의 : 버튼시동 & 스마트키, 스마트키 원격시동, 스마트 트렁크, 전동식 파킹 브레이크(오토홀드 포함),
매뉴얼 에어컨(애프터 블로우 포함), 세이프티 파워 윈도우(전좌석), 2열 에어벤트, 후방 모니터,
전방/후방 주차 거리 경고, 후드 가스 리프터, 패들쉬프트, 오토 라이트 컨트롤,
수동식 틸트 & 텔레스코픽 스티어링 휠, 마이크로 에어 필터, C타입 USB 포트(1열 2개, 2열 2개)
• 인포테인먼트 : 12.3인치 디스플레이 오디오(블루링크, 폰 프로젝션, 6스피커, 라디오, MP3, 블루투스 핸즈프리),
무선 소프트웨어 업데이트(OTA Software Update)"
