"OPTION_GROUP_ID","BRAND_ID","GROUP_NAME","SELECT_RULE","DESCRIPTION"
20001,20002,INTERIOR_COLOR_CARNIVAL_HI,SINGLE,카니발 하이리무진 내장 컬러 단일 선택
20002,20002,INTERIOR_NIRO_EV,SINGLE,니로 EV 내장 컬러 단일 선택
20003,20002,INTERIOR_RAY_EV,SINGLE,Ray EV 내장 컬러 단일 선택
20004,20002,NIRO_HYBRID_Trendy | 실내색상,SINGLE,실내 색상 단일 선택
20005,20002,NIRO_HYBRID_Prestige | 실내색상,SINGLE,실내 색상 단일 선택
20006,20002,NIRO_HYBRID_Best Selection | 실내색상,SINGLE,실내 색상 단일 선택
20007,20002,NIRO_HYBRID_Signature | 실내색상,SINGLE,실내 색상 단일 선택
20008,20002,NIRO_HYBRID_Trendy | 패키지옵션,MULTI,패키지/선택옵션 다중 선택
20009,20002,NIRO_HYBRID_Prestige | 패키지옵션,MULTI,패키지/선택옵션 다중 선택
20010,20002,NIRO_HYBRID_Best Selection | 패키지옵션,MULTI,패키지/선택옵션 다중 선택
20011,20002,NIRO_HYBRID_Signature | 패키지옵션,MULTI,패키지/선택옵션 다중 선택
20012,20002,NIRO_HYBRID_Trendy | 신차옵션상품,MULTI,신차 옵션 상품(별도 옵션)
20013,20002,NIRO_HYBRID_Prestige | 신차옵션상품,MULTI,신차 옵션 상품(별도 옵션)
20014,20002,NIRO_HYBRID_Best Selection | 신차옵션상품,MULTI,신차 옵션 상품(별도 옵션)
20015,20002,NIRO_HYBRID_Signature | 신차옵션상품,MULTI,신차 옵션 상품(별도 옵션)
20016,20002,K5_HYBRID_Prestige | INTERIOR,SINGLE,내장색 단일 선택 그룹
20017,20002,K5_HYBRID_Noblesse | INTERIOR,SINGLE,내장색 단일 선택 그룹
20018,20002,K5_HYBRID_Signature | INTERIOR,SINGLE,내장색 단일 선택 그룹
20019,20002,K5_GASOLINE_Smart Selection | INTERIOR,SINGLE,내장색 단일 선택 그룹
20020,20002,K5_GASOLINE_Prestige | INTERIOR,SINGLE,내장색 단일 선택 그룹
20021,20002,K5_GASOLINE_Noblesse | INTERIOR,SINGLE,내장색 단일 선택 그룹
20022,20002,K5_GASOLINE_Signature | INTERIOR,SINGLE,내장색 단일 선택 그룹
20023,20002,K5_GASOLINE_TURBO_Prestige | INTERIOR,SINGLE,내장색 단일 선택 그룹
20024,20002,K5_GASOLINE_TURBO_Noblesse | INTERIOR,SINGLE,내장색 단일 선택 그룹
20025,20002,K5_GASOLINE_TURBO_Signature | INTERIOR,SINGLE,내장색 단일 선택 그룹
20026,20002,K5_LPG_Prestige | INTERIOR,SINGLE,내장색 단일 선택 그룹
20027,20002,K5_LPG_Noblesse | INTERIOR,SINGLE,내장색 단일 선택 그룹
20028,20002,K5_LPG_Signature | INTERIOR,SINGLE,내장색 단일 선택 그룹
20029,20002,K5_LPG_RENTAL_Trendy | INTERIOR,SINGLE,내장색 단일 선택 그룹
20030,20002,K5_LPG_RENTAL_Prestige | INTERIOR,SINGLE,내장색 단일 선택 그룹
20031,20002,MORNING | 버튼/시동,SINGLE,
20032,20002,MORNING | 스타일,SINGLE,
20033,20002,MORNING | 휠,SINGLE,
20034,20002,MORNING | 컴포트,SINGLE,
20035,20002,MORNING | 컨비니언스,SINGLE,
20036,20002,MORNING | 드라이브 와이즈,SINGLE,
20037,20002,MORNING | 내비게이션,SINGLE,
20038,20002,MORNING | 선루프,SINGLE,
20039,20001,ELECTRIFIED_G80_BASE_내장 디자인,SINGLE,내장 디자인(스탠다드/시그니쳐) 중 1개 필수 선택.
20040,20001,ELECTRIFIED_G80_BASE_시트 컬러,SINGLE,시트 컬러 1개 선택.
20041,20001,ELECTRIFIED_G80_BASE_선택 옵션,MULTI,복수 선택 가능한 옵션(파퓰러 포함).
20042,20001,GV70_2.5T_휠&타이어(일반),SINGLE,"2.5 터보 일반 휠&타이어(택1)"
20043,20001,GV70_2.5T_휠&타이어(스포츠),SINGLE,"2.5 터보 스포츠 휠&타이어(택1)"
20044,20001,GV70_3.5T_휠&타이어(일반),SINGLE,"3.5 터보 일반 휠&타이어(택1)"
20045,20001,GV70_3.5T_휠&타이어(스포츠),SINGLE,"3.5 터보 스포츠 휠&타이어(택1)"
20046,20001,GV70_서스펜션,MULTI,서스펜션 관련 옵션
20047,20001,GV70_내장디자인(일반),SINGLE,일반 내장 디자인(택1)
20048,20001,GV70_내장디자인(스포츠),SINGLE,스포츠 내장 디자인(택1)
20049,20001,GV70_내장컬러,SINGLE,내장 컬러(택1)
20050,20001,GV70_주요옵션,MULTI,주요 선택 옵션
20051,20001,GV70_패키지(할인묶음),MULTI,할인 묶음 패키지 옵션
20052,20002,K8_내장컬러 선택,SINGLE,K8 내장 컬러 단일 선택 그룹
20053,20002,RAY_GASOLINE_Trendy | INTERIOR_COLOR,SINGLE,인테리어 컬러 단일 선택
20054,20002,RAY_GASOLINE_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 단일 선택
20055,20002,RAY_GASOLINE_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 단일 선택
20056,20002,RAY_GASOLINE_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 단일 선택
20057,20002,RAY_GASOLINE_Trendy | PACKAGE_OPTIONS,MULTI,Ray 선택 옵션(패키지/단품) 다중 선택
20058,20002,RAY_GASOLINE_Prestige | PACKAGE_OPTIONS,MULTI,Ray 선택 옵션(패키지/단품) 다중 선택
20059,20002,RAY_GASOLINE_Signature | PACKAGE_OPTIONS,MULTI,Ray 선택 옵션(패키지/단품) 다중 선택
20060,20002,RAY_GASOLINE_X-Line | PACKAGE_OPTIONS,MULTI,Ray 선택 옵션(패키지/단품) 다중 선택
20061,20002,RAY_VAN_2SEAT_Trendy | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20062,20002,RAY_VAN_2SEAT_Prestige | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20063,20002,RAY_VAN_2SEAT_Special | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20064,20002,RAY_VAN_1SEAT_Trendy | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20065,20002,RAY_VAN_1SEAT_Prestige | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20066,20002,RAY_VAN_1SEAT_Special | PACKAGE_OPTIONS,MULTI,Ray 밴 선택 옵션 다중 선택
20067,20002,RAY_GASOLINE_Prestige | ACCESSORY,MULTI,신차 옵션 상품(일부 트림/조건 적용)
20068,20002,RAY_GASOLINE_Signature | ACCESSORY,MULTI,신차 옵션 상품(일부 트림/조건 적용)
20069,20002,SORENTO_G25T_Prestige | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20070,20002,SORENTO_G25T_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20071,20002,SORENTO_D22_Prestige | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20072,20002,SORENTO_D22_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20073,20002,SORENTO_G25T_Noblesse | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20074,20002,SORENTO_G25T_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20075,20002,SORENTO_D22_Noblesse | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20076,20002,SORENTO_D22_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20077,20002,SORENTO_G25T_Signature | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20078,20002,SORENTO_G25T_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20079,20002,SORENTO_D22_Signature | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20080,20002,SORENTO_D22_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20081,20002,SORENTO_G25T_X-Line | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20082,20002,SORENTO_G25T_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20083,20002,SORENTO_D22_X-Line | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20084,20002,SORENTO_D22_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20085,20002,SORENTO_HEV2WD_Prestige | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20086,20002,SORENTO_HEV2WD_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20087,20002,SORENTO_HEV4WD_Prestige | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20088,20002,SORENTO_HEV4WD_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20089,20002,SORENTO_HEV2WD_Noblesse | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20090,20002,SORENTO_HEV2WD_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20091,20002,SORENTO_HEV4WD_Noblesse | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20092,20002,SORENTO_HEV4WD_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20093,20002,SORENTO_HEV2WD_Signature | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20094,20002,SORENTO_HEV2WD_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20095,20002,SORENTO_HEV4WD_Signature | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20096,20002,SORENTO_HEV4WD_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20097,20002,SORENTO_HEV2WD_X-Line | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20098,20002,SORENTO_HEV2WD_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20099,20002,SORENTO_HEV4WD_X-Line | SEATING,SINGLE,탑승 인원 선택(5/6/7인승 중 택1)
20100,20002,SORENTO_HEV4WD_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20101,20002,SORENTO_G25T_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20102,20002,SORENTO_G25T_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20103,20002,SORENTO_G25T_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20104,20002,SORENTO_G25T_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20105,20002,SORENTO_D22_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20106,20002,SORENTO_D22_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20107,20002,SORENTO_D22_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20108,20002,SORENTO_D22_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20109,20002,SORENTO_HEV2WD_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20110,20002,SORENTO_HEV2WD_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20111,20002,SORENTO_HEV2WD_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20112,20002,SORENTO_HEV2WD_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20113,20002,SORENTO_HEV4WD_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20114,20002,SORENTO_HEV4WD_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20115,20002,SORENTO_HEV4WD_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20116,20002,SORENTO_HEV4WD_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20117,20002,SORENTO_G25T_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20118,20002,SORENTO_G25T_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20119,20002,SORENTO_G25T_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20120,20002,SORENTO_G25T_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20121,20002,SORENTO_D22_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20122,20002,SORENTO_D22_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20123,20002,SORENTO_D22_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20124,20002,SORENTO_D22_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20125,20002,SORENTO_HEV2WD_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20126,20002,SORENTO_HEV2WD_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20127,20002,SORENTO_HEV2WD_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20128,20002,SORENTO_HEV2WD_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20141,20002,INTERIOR_COLOR_CARNIVAL_Prestige_9,SINGLE,내장 컬러 선택
20142,20002,INTERIOR_COLOR_CARNIVAL_Noblesse_9,SINGLE,내장 컬러 선택
20143,20002,INTERIOR_COLOR_CARNIVAL_Signature_9,SINGLE,내장 컬러 선택
20144,20002,INTERIOR_COLOR_CARNIVAL_X-Line_9,SINGLE,내장 컬러 선택
20145,20002,INTERIOR_COLOR_CARNIVAL_Noblesse_7,SINGLE,내장 컬러 선택
20146,20002,INTERIOR_COLOR_CARNIVAL_Outdoor_7,SINGLE,내장 컬러 선택
20147,20002,INTERIOR_COLOR_CARNIVAL_Signature_7,SINGLE,내장 컬러 선택
20148,20002,INTERIOR_COLOR_CARNIVAL_X-Line_7,SINGLE,내장 컬러 선택
20149,20002,SORENTO_HEV4WD_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20150,20002,SORENTO_HEV4WD_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20151,20002,SORENTO_HEV4WD_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20152,20002,SORENTO_HEV4WD_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20153,20002,SPORTAGE_G16T_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20154,20002,SPORTAGE_G16T_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20155,20002,SPORTAGE_G16T_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20156,20002,SPORTAGE_G16T_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20157,20002,SPORTAGE_G16T_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20158,20002,SPORTAGE_G16T_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20159,20002,SPORTAGE_G16T_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20160,20002,SPORTAGE_G16T_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20161,20002,SPORTAGE_G16T_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20162,20002,SPORTAGE_G16T_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20163,20002,SPORTAGE_G16T_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20164,20002,SPORTAGE_G16T_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20165,20002,SPORTAGE_L20_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20166,20002,SPORTAGE_L20_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20167,20002,SPORTAGE_L20_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20168,20002,SPORTAGE_L20_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20169,20002,SPORTAGE_L20_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20170,20002,SPORTAGE_L20_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20171,20002,SPORTAGE_L20_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20172,20002,SPORTAGE_L20_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
90003,60009,"1234",SINGLE,
20173,20002,SPORTAGE_L20_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20174,20002,SPORTAGE_L20_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20175,20002,SPORTAGE_L20_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20176,20002,SPORTAGE_L20_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20177,20002,SPORTAGE_HEV16T_Prestige | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20178,20002,SPORTAGE_HEV16T_Prestige | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20179,20002,SPORTAGE_HEV16T_Prestige | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20180,20002,SPORTAGE_HEV16T_Noblesse | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20181,20002,SPORTAGE_HEV16T_Noblesse | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20182,20002,SPORTAGE_HEV16T_Noblesse | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20183,20002,SPORTAGE_HEV16T_Signature | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20184,20002,SPORTAGE_HEV16T_Signature | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20185,20002,SPORTAGE_HEV16T_Signature | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
20186,20002,SPORTAGE_HEV16T_X-Line | OPTIONS,MULTI,선택 옵션(복수 선택 가능)
20187,20002,SPORTAGE_HEV16T_X-Line | INTERIOR_COLOR,SINGLE,인테리어 컬러 선택(택1)
20188,20002,SPORTAGE_HEV16T_X-Line | ACCESSORY,MULTI,신차 옵션 상품(복수 선택 가능)
40001,40001,안전/주행보조,MULTI,주행 보조 관련 옵션
40002,40001,시트/편의,MULTI,시트 관련 옵션
40003,40001,휠 선택,SINGLE,휠은 1개만 선택
40004,40002,안전 보조 옵션 그룹,SINGLE,주행 보조 관련 옵션
40005,40002,시트 옵션 그룹,MULTI,시트 관련 옵션
40006,40003,휠 선택,SINGLE,휠은 1개만 선택
40007,40003,주행/안전 보조,MULTI,주행/안전 보조 옵션
40008,40003,편의/인테리어,MULTI,편의/인테리어 옵션
40009,40004,탑 선택,SINGLE,탑은 1개만 선택
40010,40004,휠 선택,SINGLE,휠은 1개만 선택
40011,40004,인포테인먼트/편의,MULTI,인포테인먼트/편의 옵션
1,1,AVANTE | WHEEL,SINGLE,휠(사이즈/디자인) 단일 선택 그룹
2,1,AVANTE | SUNROOF,SINGLE,선루프 단일 선택 그룹
3,1,AVANTE | INTERIOR_COLOR,SINGLE,내장색 단일 선택 그룹
7,1,SONATA_HEV | INTERIOR_COLOR,SINGLE,내장 색상 선택
8,1,SONATA_HEV | SUNROOF,SINGLE,선루프 선택
9,1,GRANDEUR | EXCLUSIVE_WHEEL,SINGLE,휠 및 서스펜션 선택 (중복 불가)
4,1,SONATA | INTERIOR_COLOR,SINGLE,내장 색상 선택
5,1,SONATA N Line | WHEEL,SINGLE,휠 및 브레이크 패키지 선택
6,1,SONATA | SUNROOF,SINGLE,선루프 선택
10,1,GRANDEUR | INTERIOR_COLOR,SINGLE,내장 색상 선택
80002,3,ID.4_Interior,SINGLE,Choose your interior
90001,1,싼타페_좌석수_선택,SINGLE,"6인승/7인승은 서로 배타(단일 선택)"
13,1,GRANDEUR | WHEEL_CHOICE,SINGLE,휠 선택 (택1)
18,1,IONIQ6_WHEEL_GROUP,SINGLE,
19,1,IONIQ6_WHEELS,SINGLE,
20,3,ATLAS_SEATS,SINGLE,
21,3,ATLAS_INTERIOR,SINGLE,
14,1,PALISADE | SEAT_CHOICE,SINGLE,탑승 인원 선택 (택1)
16,1,TUCSON | INSPIRATION_WHEEL,SINGLE,"19인치 휠 선택 (택1)"
17,1,NEXO_WHEEL_GROUP,SINGLE,
60001,60002,내부 색상,SINGLE,"AUTO-GENERATED: INTERIOR_SUFFIX -> 내부 인테리어 (options=3073,3074)"
60002,60002,주행 보조 기능 선택,SINGLE,"AUTO-GENERATED: TIER_SUFFIX -> 드라이빙 어시스턴스 패키지 (options=3071,3075)"
60003,60002,내부 색상,SINGLE,"AUTO-GENERATED: INTERIOR_SUFFIX -> 내부 인테리어 (options=3076,3077)"
60004,60007,내부 색상,SINGLE,볼보 내장 색상 선택
80001,3,ID.4_Wheel,SINGLE,Choose your Wheel
