"OPTION_GROUP_ITEM_ID","OPTION_GROUP_ID","OPTION_ITEM_ID"
40026,40009,40034
20001,20016,20158
20002,20017,20159
20003,20018,20160
20004,20019,20161
20005,20020,20162
20006,20021,20163
20007,20022,20164
20008,20023,20165
20009,20024,20166
20010,20025,20167
20011,20026,20168
20012,20027,20169
20013,20028,20170
20014,20029,20171
20015,20030,20172
20016,20001,20306
20017,20001,20307
20018,20003,20587
20019,20003,20588
20020,20004,20543
20021,20005,20544
20022,20005,20545
20023,20006,20546
20024,20006,20547
20025,20007,20548
20026,20007,20549
20027,20007,20550
20028,20008,20551
20029,20008,20552
20030,20008,20553
20031,20008,20554
20032,20009,20555
20033,20009,20556
20034,20009,20557
20035,20009,20558
20036,20009,20559
20037,20009,20560
20038,20009,20561
20039,20009,20562
20040,20009,20563
20041,20009,20564
20042,20010,20565
20043,20010,20566
20044,20010,20567
20045,20010,20568
20046,20010,20569
20047,20010,20570
20048,20010,20571
20049,20010,20572
20050,20010,20573
20051,20011,20574
20052,20011,20575
20053,20011,20576
20054,20011,20990
20055,20011,20991
20056,20011,20992
20057,20011,20993
20058,20011,20994
20059,20011,20995
20060,20011,20996
20061,20011,20997
20062,20011,20998
20063,20012,20999
20064,20013,21000
20065,20013,21001
20066,20014,21002
20067,20015,21003
20068,20015,21004
20069,20016,20215
20070,20016,20216
20071,20016,20217
20072,20017,20218
20073,20017,20219
20074,20017,20220
20075,20018,20221
20076,20018,20222
20077,20018,20223
20078,20019,20224
20079,20039,21242
20080,20019,20225
20081,20020,20226
20082,20020,20227
20083,20020,20228
20084,20021,20229
20085,20021,20230
20086,20021,20231
20087,20022,20232
20088,20022,20233
20089,20022,20234
20090,20023,20235
20091,20023,20236
20092,20023,20237
20093,20024,20238
20094,20024,20239
20095,20024,20240
20096,20025,20241
20097,20025,20242
20098,20025,20243
20099,20026,20244
20100,20026,20245
20101,20026,20246
20102,20027,20247
20103,20027,20248
20104,20027,20249
20105,20028,20250
20106,20028,20251
20107,20028,20252
20108,20029,20253
20109,20029,20254
20110,20029,20255
20111,20030,20256
20112,20030,20257
20113,20030,20258
20114,20031,20390
20115,20032,20173
20116,20033,20174
20117,20034,20175
20118,20035,20176
20119,20037,20177
20120,20038,20178
20121,20031,20179
20122,20034,20180
20123,20032,20181
20124,20033,20182
20125,20035,20183
20126,20036,20184
20127,20037,20185
20128,20031,20186
20129,20033,20187
20130,20034,20188
20131,20035,20259
20132,20036,20260
20133,20032,20261
20134,20037,20262
20135,20038,20263
20136,20031,20264
20137,20032,20265
20138,20033,20266
20139,20034,20267
20140,20035,20268
20141,20036,20269
20142,20037,20270
20143,20038,20271
20144,20031,20272
20145,20035,20273
20146,20037,20274
20147,20031,20275
20148,20035,20304
20149,20037,20305
20150,20002,20317
20151,20002,20318
20152,20002,20319
20153,20039,21243
20154,20040,21252
20155,20040,21253
20156,20040,21254
20157,20040,21255
20158,20041,21244
20159,20041,21245
20160,20041,21246
20161,20041,21247
20162,20041,21248
20163,20041,21249
20164,20041,21250
20165,20041,21251
20166,20042,21257
20167,20042,21258
20168,20042,21259
20169,20043,21260
20170,20043,21261
20171,20044,21262
20172,20044,21263
20173,20045,21264
20174,20045,21265
20175,20046,21266
20176,20046,21267
20177,20047,21268
20178,20047,21269
20179,20047,21270
20180,20048,21271
20181,20048,21272
20182,20048,21273
20183,20049,21274
20184,20049,21275
20185,20049,21276
20186,20049,21277
20187,20049,21278
20188,20049,21279
20189,20049,21280
20190,20050,21435
20191,20050,21436
20192,20050,21437
20193,20050,21438
20194,20050,21439
20195,20050,21440
20196,20050,21441
20197,20050,21411
20198,20051,21412
20199,20051,21413
20200,20052,20680
20201,20052,20681
20202,20052,20682
20203,20052,20683
20204,20052,20684
20205,20052,20685
20206,20052,20686
20207,20052,20687
20208,20052,20688
20209,20052,20689
20210,20052,20690
20211,20052,20793
20212,20052,20794
20213,20052,20795
20214,20052,20796
20215,20052,20797
20216,20052,20798
20217,20052,20799
20218,20052,20800
20219,20052,20801
20220,20052,20802
20221,20052,20803
20222,20052,20804
20223,20052,20805
20224,20052,20806
20225,20052,20807
20226,20052,20808
20227,20052,20809
20228,20052,20810
20229,20052,20811
20230,20052,20812
20231,20052,20813
20232,20052,20814
20233,20052,20815
20234,20052,20816
20235,20052,20817
20236,20052,20818
20237,20052,20819
20238,20052,20820
20239,20052,20821
20240,20052,20822
20241,20052,20823
20242,20052,20824
20243,20052,20825
20244,20127,20879
20245,20127,20880
20246,20127,20881
20247,20127,20882
20248,20128,20883
20249,20128,20884
20250,20128,20885
20251,20128,20886
20252,20128,20887
20253,20149,20888
20254,20149,20889
20255,20149,20890
20256,20149,20891
20257,20149,20892
20258,20150,20893
20259,20150,20894
20260,20150,20895
20261,20150,20896
20262,20150,20897
20263,20151,20898
20264,20151,20899
20265,20151,20900
20266,20151,20901
20267,20151,20902
20268,20152,20903
20269,20152,20904
20270,20152,20905
20271,20152,20906
20272,20152,20907
20273,20153,20908
20274,20153,20909
20275,20153,20910
20276,20153,20911
20277,20153,20912
20278,20154,20913
20279,20155,20914
20280,20155,20915
20281,20155,20916
20282,20155,20917
20283,20156,20918
20284,20156,20919
20285,20156,20920
20286,20156,20921
20287,20156,20922
20288,20156,20923
20289,20156,20924
20290,20156,20925
20291,20156,20926
20292,20156,20927
20293,20157,21203
20294,20157,21204
20295,20158,21205
20296,20158,21206
20297,20158,21207
20298,20158,21208
20299,20158,21209
20300,20158,21210
20301,20159,21211
20302,20159,21212
20303,20159,21213
20304,20159,21214
20305,20053,20928
20306,20054,20929
20307,20054,20930
20308,20055,20931
20309,20055,20932
20310,20056,20933
20311,20056,20934
20312,20057,20935
20313,20057,20936
20314,20057,20937
20315,20057,20938
20316,20057,20939
20317,20057,20940
20318,20058,20941
20319,20058,20942
20320,20058,20943
20321,20058,20944
20322,20058,20945
20323,20058,20946
20324,20058,20947
20325,20059,20948
20326,20059,20949
20327,20059,20950
20328,20059,20951
20329,20059,20952
20330,20059,20953
20331,20059,21153
20332,20060,20954
20333,20060,20955
20334,20060,20956
20335,20060,20957
20336,20060,20958
20337,20060,21154
20338,20060,20959
20339,20061,20960
20340,20061,20961
20341,20061,20962
20342,20062,20963
20343,20062,20964
20344,20062,20965
20345,20062,20966
20346,20063,20967
20347,20063,20968
20348,20063,20969
20349,20063,20970
20350,20064,20971
20351,20064,20972
20352,20064,20973
20353,20065,20974
20354,20065,20975
20355,20065,20976
20356,20065,20977
20357,20066,20978
20358,20066,20979
20359,20066,20980
20360,20066,20981
20361,20067,20982
20362,20068,20983
20363,20069,20984
20364,20069,20985
20365,20069,20986
20366,20070,20987
20367,20070,20988
20368,20070,20989
20369,20070,21005
20370,20070,21006
20371,20070,21007
20372,20071,21008
20373,20071,21009
20374,20071,21010
20375,20072,21011
20376,20072,21012
20377,20072,21013
20378,20072,21014
20379,20072,21015
20380,20072,21016
20381,20073,21017
20382,20073,21018
20383,20073,21019
20384,20074,21020
20385,20074,21021
20386,20074,21022
20387,20074,21023
20388,20074,21024
20389,20074,21025
20390,20074,21026
20391,20074,21027
20392,20075,21028
20393,20075,21029
20394,20075,21030
20395,20076,21031
20396,20076,21032
20397,20076,21033
20398,20076,21034
20399,20076,21035
20400,20076,21036
20401,20076,21037
20402,20076,21038
20403,20077,21039
20404,20077,21040
20405,20077,21041
20406,20078,21042
20407,20078,21043
20408,20078,21044
20409,20078,21045
20410,20078,21046
20411,20078,21047
20412,20078,21048
20413,20078,21049
20414,20078,21050
20415,20079,21051
20416,20079,21052
20417,20079,21053
20418,20080,21054
20419,20080,21055
20420,20080,21056
20421,20080,21057
20422,20080,21058
20423,20080,21059
20424,20080,21060
20425,20080,21061
20426,20080,21062
20427,20081,21063
20428,20081,21064
20429,20081,21065
20430,20082,21066
20431,20082,21067
20432,20082,21068
20433,20082,21069
20434,20082,21070
20435,20082,21071
20436,20082,21072
20437,20082,21073
20438,20082,21074
20439,20083,21075
20440,20083,21076
20441,20083,21077
20442,20084,21078
20443,20084,21079
20444,20084,21080
20445,20084,21081
20446,20084,21082
20447,20084,21083
20448,20084,21084
20449,20084,21085
20450,20084,21086
20451,20085,21087
20452,20085,21088
20453,20085,21089
20454,20086,21090
20455,20086,21091
20456,20086,21092
20457,20086,21093
20458,20086,21094
20459,20087,21095
20460,20087,21096
20461,20087,21097
20462,20088,21098
20463,20088,21099
20464,20088,21100
20465,20088,21101
20466,20088,21102
20467,20089,21103
20468,20089,21104
20469,20089,21105
20470,20090,21106
20471,20090,21107
20472,20090,21108
20473,20090,21109
20474,20090,21110
20475,20090,21111
20476,20090,21112
20477,20091,21113
20478,20091,21114
20479,20091,21115
20480,20092,21116
20481,20092,21117
20482,20092,21118
20483,20092,21119
20484,20092,21120
20485,20092,21121
20486,20092,21122
20487,20093,21123
20488,20093,21124
20489,20093,21125
20490,20094,21126
20491,20094,21127
20492,20094,21128
20493,20094,21129
20494,20094,21130
20495,20094,21131
20496,20094,21132
20497,20094,21133
20498,20094,21134
20499,20095,21135
20500,20095,21136
20501,20095,21137
20502,20096,21138
20503,20096,21139
20504,20096,21140
20505,20096,21141
20506,20096,21142
20507,20096,21143
20508,20096,21144
20509,20096,21145
20510,20096,21146
20511,20097,21147
20512,20097,21148
20513,20097,21149
20514,20098,21150
20515,20098,21151
20516,20098,21152
20517,20098,21155
20518,20098,21156
20519,20098,21157
20520,20098,21158
20521,20098,21159
20522,20098,21160
20523,20099,21161
20524,20099,21162
20525,20099,21163
20526,20100,21164
20527,20100,21165
20528,20100,21166
20529,20100,21167
20530,20100,21168
20531,20100,21169
20532,20100,21170
20533,20100,21171
20534,20100,21172
20535,20101,21173
20536,20101,21174
20537,20102,21175
20538,20102,21176
20539,20103,21177
20540,20103,21178
20541,20104,21179
20542,20104,21180
20543,20105,21181
20544,20105,21182
20545,20106,21183
20546,20106,21184
20547,20107,21185
20548,20107,21186
20549,20108,21187
20550,20108,21188
20551,20109,21189
20552,20109,21190
20553,20110,21191
20554,20110,21192
20555,20111,21193
20556,20111,21194
20557,20112,21195
20558,20112,21196
20559,20113,21197
20560,20113,21198
20561,20114,21199
20562,20114,21200
20563,20115,21201
20564,20115,21202
20565,20116,20826
20566,20116,20827
20567,20117,20828
20568,20117,20829
20569,20117,20830
20570,20117,20831
20571,20117,20832
20572,20118,20833
20573,20118,20834
20574,20118,20835
20575,20118,20836
20576,20118,20837
20577,20119,20838
20578,20119,20839
20579,20119,20840
20580,20119,20841
20581,20119,20842
20582,20120,20843
20583,20120,20844
20584,20120,20845
20585,20120,20846
20586,20120,20847
20587,20121,20848
20588,20121,20849
20589,20121,20850
20590,20121,20851
20591,20121,20852
20592,20122,20853
20593,20122,20854
20594,20122,20855
20595,20122,20856
20596,20122,20857
20597,20123,20858
20598,20123,20859
20599,20123,20860
20600,20123,20861
20601,20123,20862
20602,20124,20863
20603,20124,20864
20604,20124,20865
20605,20124,20866
20606,20124,20867
20607,20125,20868
20608,20125,20869
20609,20125,20870
20610,20125,20871
20611,20125,20872
20612,20126,20873
20613,20126,20874
20614,20126,20875
20615,20126,20876
20616,20126,20877
20617,20127,20878
20618,20159,21215
20619,20159,21216
20620,20051,21256
20621,20141,20777
20622,20141,20778
20623,20142,20779
20624,20142,20780
20625,20143,20781
20626,20143,20782
20627,20144,20783
20628,20144,20784
20629,20145,20785
20630,20145,20786
20631,20146,20787
20632,20146,20788
20633,20147,20789
20634,20147,20790
20635,20148,20791
20636,20148,20792
20637,20159,21217
20638,20159,21218
20639,20159,21219
20640,20159,21220
20641,20159,21221
20642,20159,21222
20643,20160,21223
20644,20160,21224
20645,20160,21225
20646,20161,21226
20647,20161,21227
20648,20161,21228
20649,20161,21229
20650,20161,21230
20651,20161,21231
20652,20162,21232
20653,20162,21233
20654,20162,21234
20655,20162,21235
20656,20162,21236
20657,20162,21237
20658,20162,21238
20659,20162,21239
20660,20162,21240
20661,20162,21241
20662,20162,21281
20663,20162,21282
20664,20163,21283
20665,20163,21284
20666,20163,21285
20667,20164,21286
20668,20164,21287
20669,20164,21288
20670,20164,21289
20671,20164,21290
20672,20164,21291
20673,20165,21292
20674,20165,21293
20675,20165,21294
20676,20165,21295
20677,20165,21296
20678,20166,21297
20679,20167,21298
20680,20167,21299
20681,20167,21300
20682,20167,21301
20683,20168,21302
20684,20168,21303
20685,20168,21304
20686,20168,21305
20687,20168,21306
20688,20168,21307
20689,20168,21308
20690,20168,21309
20691,20168,21310
20692,20168,21311
20693,20169,21312
20694,20169,21313
20695,20170,21314
20696,20170,21315
20697,20170,21316
20698,20170,21317
20699,20170,21318
20700,20170,21319
20701,20171,21320
20702,20171,21321
20703,20171,21322
20704,20171,21323
20705,20171,21324
20706,20171,21325
20707,20171,21326
20708,20171,21327
20709,20171,21328
20710,20171,21329
20711,20171,21330
20712,20171,21331
20713,20172,21332
20714,20172,21333
20715,20172,21334
20716,20173,21335
20717,20173,21336
20718,20173,21337
20719,20173,21338
20720,20173,21339
20721,20173,21340
20722,20174,21341
20723,20174,21342
20724,20174,21343
20725,20174,21344
90004,90003,90019
20726,20174,21345
20727,20174,21346
20728,20174,21347
20729,20174,21348
20730,20174,21349
20731,20174,21350
20732,20174,21351
20733,20174,21352
20734,20175,21353
20735,20175,21354
20736,20175,21355
20737,20176,21356
20738,20176,21357
20739,20176,21358
20740,20176,21359
20741,20176,21360
20742,20176,21361
20743,20177,21362
20744,20177,21363
20745,20177,21364
20746,20177,21365
20747,20177,21366
20748,20178,21367
20749,20179,21368
20750,20179,21369
20751,20179,21370
20752,20179,21371
20753,20180,21372
20754,20180,21373
20755,20180,21374
20756,20180,21375
20757,20180,21376
20758,20180,21377
20759,20180,21378
20760,20180,21379
20761,20180,21380
20762,20180,21381
20763,20181,21382
20764,20181,21383
20765,20182,21384
20766,20182,21385
20767,20182,21386
20768,20182,21387
20769,20182,21388
20770,20182,21389
20771,20183,21390
20772,20183,21391
20773,20183,21392
20774,20183,21393
20775,20183,21394
20776,20183,21395
20777,20183,21396
20778,20183,21397
20779,20183,21398
20780,20183,21399
20781,20183,21400
20782,20183,21401
20783,20184,21402
20784,20184,21403
20785,20184,21404
20786,20185,21405
20787,20185,21406
20788,20185,21407
20789,20185,21408
20790,20185,21409
20791,20185,21410
20792,20186,21414
20793,20186,21415
20794,20186,21416
20795,20186,21417
20796,20186,21418
20797,20186,21419
20798,20186,21420
20799,20186,21421
20800,20186,21422
20801,20186,21423
20802,20186,21424
20803,20186,21425
20804,20187,21426
20805,20187,21427
20806,20187,21428
20807,20188,21429
20808,20188,21430
20809,20188,21431
20810,20188,21432
20811,20188,21433
20812,20188,21434
40001,40001,40002
40002,40001,40003
40003,40002,40004
40004,40002,40005
40005,40003,40008
40006,40004,40012
40007,40005,40013
40008,40006,40020
40009,40006,40021
40010,40007,40015
40011,40007,40016
40012,40008,40017
40013,40008,40018
40014,40008,40019
40015,40008,40022
40016,40009,40024
40017,40009,40025
40018,40010,40030
40019,40010,40031
40020,40011,40026
40021,40011,40027
40022,40011,40028
40023,40011,40029
40024,40003,40036
40025,40006,40035
1,1,5
2,1,10
3,1,13
4,2,6
5,3,11
6,3,16
7,3,18
8,3,19
10,5,45
11,5,39
45,19,112
12,4,40
13,4,41
14,4,42
15,4,43
16,4,44
23,9,66
24,10,70
25,10,71
26,10,72
27,10,73
28,10,74
40,17,101
41,17,102
9,6,31
17,7,40
18,7,41
19,7,42
20,7,43
21,8,31
22,9,65
42,18,111
43,18,112
29,13,61
30,13,59
44,19,111
46,20,115
31,14,86
47,20,116
48,21,118
49,21,119
32,14,87
33,14,88
34,14,89
37,16,81
38,16,38
39,16,82
60001,60001,60006
60002,60001,60007
60003,60004,60009
60004,60004,60010
60005,60004,60011
60006,60004,60012
60007,60001,60003
60008,60001,60004
60009,60002,60001
60010,60002,60005
60011,60003,60006
60012,60003,60007
90001,90001,90003
90002,90001,90004
80001,80001,80001
80002,80002,80002
